iter	Logloss
0	0.6894292529
1	0.6857056029
2	0.6821793205
3	0.6778422712
4	0.6747044301
5	0.6705573598
6	0.6665329122
7	0.6643966016
8	0.6608235397
9	0.6580870145
10	0.6555224908
11	0.6527994155
12	0.6500259801
13	0.6463976408
14	0.6428862466
15	0.6391580384
16	0.6373798547
17	0.6354884314
18	0.6323619543
19	0.629815872
20	0.6268924325
21	0.6264143936
22	0.6242617854
23	0.6212538857
24	0.6187319188
25	0.6159281632
26	0.6137851486
27	0.6110234367
28	0.6081074149
29	0.6063882914
30	0.6044313515
31	0.6016311261
32	0.5994394033
33	0.5974206696
34	0.5948648648
35	0.5917293988
36	0.5890684452
37	0.5865280725
38	0.5849506135
39	0.5825546691
40	0.5801101651
41	0.5778015901
42	0.5755010713
43	0.5735435962
44	0.5708121514
45	0.5688397862
46	0.5667571016
47	0.564786989
48	0.5624484811
49	0.5612876285
50	0.5605073662
51	0.5579042101
52	0.5558488281
53	0.5545950932
54	0.552621761
55	0.5513683835
56	0.5495821396
57	0.547303852
58	0.5454127443
59	0.5439041921
60	0.5417126587
61	0.5401108948
62	0.5381021016
63	0.536312378
64	0.534948742
65	0.5328066772
66	0.5312358957
67	0.5297062341
68	0.5283820027
69	0.5265888361
70	0.5251305726
71	0.5238305534
72	0.5223154765
73	0.5209302745
74	0.5198753604
75	0.5188279773
76	0.5176016819
77	0.5160913762
78	0.5140211711
79	0.5126229039
80	0.5116429165
81	0.5104148278
82	0.5087422454
83	0.5074027618
84	0.5066774694
85	0.5051388122
86	0.5037874209
87	0.5025138874
88	0.5007260761
89	0.4997173038
90	0.498731155
91	0.4968071589
92	0.4961770383
93	0.494525503
94	0.4937435184
95	0.4919224081
96	0.4909447493
97	0.489823259
98	0.4889886978
99	0.4876205441
100	0.4865302537
101	0.486078264
102	0.484588785
103	0.4832124853
104	0.4816182269
105	0.4806929643
106	0.479581526
107	0.4774663502
108	0.4763932981
109	0.4756745125
110	0.4743534145
111	0.4733252836
112	0.4724970536
113	0.471893566
114	0.4703120602
115	0.4690798438
116	0.4684526927
117	0.4673303777
118	0.4661052675
119	0.4651580475
120	0.4642483689
121	0.4638566899
122	0.462096157
123	0.4604558196
124	0.4592499468
125	0.458507515
126	0.4574466971
127	0.4560507168
128	0.455402899
129	0.4544475678
130	0.4536512983
131	0.4521434475
132	0.4517218131
133	0.4510669943
134	0.4500973752
135	0.4493596715
136	0.4481616332
137	0.446991618
138	0.4458870081
139	0.4444572423
